Edad;Sexo;Periodo;Total
Total;Ambos sexos;2023;12,11
Total;Ambos sexos;2022;12,92
Total;Ambos sexos;2021;14,78
Total;Hombres;2023;10,58
Total;Hombres;2022;11,27
Total;Hombres;2021;13,05
Total;Mujeres;2023;13,8
Total;Mujeres;2022;14,76
Total;Mujeres;2021;16,71
De 16 a 19 años;Ambos sexos;2023;42,87
De 16 a 19 años;Ambos sexos;2022;45,88
De 16 a 19 años;Ambos sexos;2021;50,83
De 16 a 19 años;Hombres;2023;42,83
De 16 a 19 años;Hombres;2022;45,84
De 16 a 19 años;Hombres;2021;49,96
De 16 a 19 años;Mujeres;2023;42,92
De 16 a 19 años;Mujeres;2022;45,92
De 16 a 19 años;Mujeres;2021;51,93
De 20 a 24 años;Ambos sexos;2023;25,5
De 20 a 24 años;Ambos sexos;2022;26,25
De 20 a 24 años;Ambos sexos;2021;31,55
De 20 a 24 años;Hombres;2023;25,48
De 20 a 24 años;Hombres;2022;25,11
De 20 a 24 años;Hombres;2021;30,8
De 20 a 24 años;Mujeres;2023;25,51
De 20 a 24 años;Mujeres;2022;27,58
De 20 a 24 años;Mujeres;2021;32,42
De 25 a 29 años;Ambos sexos;2023;15,58
De 25 a 29 años;Ambos sexos;2022;16,65
De 25 a 29 años;Ambos sexos;2021;21,35
De 25 a 29 años;Hombres;2023;14,99
De 25 a 29 años;Hombres;2022;15,96
De 25 a 29 años;Hombres;2021;21,22
De 25 a 29 años;Mujeres;2023;16,22
De 25 a 29 años;Mujeres;2022;17,4
De 25 a 29 años;Mujeres;2021;21,48
De 30 a 34 años;Ambos sexos;2023;11,88
De 30 a 34 años;Ambos sexos;2022;12,62
De 30 a 34 años;Ambos sexos;2021;15,12
De 30 a 34 años;Hombres;2023;10,32
De 30 a 34 años;Hombres;2022;11,48
De 30 a 34 años;Hombres;2021;14,22
De 30 a 34 años;Mujeres;2023;13,57
De 30 a 34 años;Mujeres;2022;13,85
De 30 a 34 años;Mujeres;2021;16,09
De 35 a 39 años;Ambos sexos;2023;10,72
De 35 a 39 años;Ambos sexos;2022;11,59
De 35 a 39 años;Ambos sexos;2021;12,9
De 35 a 39 años;Hombres;2023;8,71
De 35 a 39 años;Hombres;2022;9,68
De 35 a 39 años;Hombres;2021;10,82
De 35 a 39 años;Mujeres;2023;12,86
De 35 a 39 años;Mujeres;2022;13,64
De 35 a 39 años;Mujeres;2021;15,14
De 40 a 44 años;Ambos sexos;2023;9,23
De 40 a 44 años;Ambos sexos;2022;9,9
De 40 a 44 años;Ambos sexos;2021;11,13
De 40 a 44 años;Hombres;2023;7,53
De 40 a 44 años;Hombres;2022;7,78
De 40 a 44 años;Hombres;2021;9,06
De 40 a 44 años;Mujeres;2023;11,05
De 40 a 44 años;Mujeres;2022;12,21
De 40 a 44 años;Mujeres;2021;13,4
De 45 a 49 años;Ambos sexos;2023;9,33
De 45 a 49 años;Ambos sexos;2022;9,88
De 45 a 49 años;Ambos sexos;2021;11,5
De 45 a 49 años;Hombres;2023;7,11
De 45 a 49 años;Hombres;2022;7,53
De 45 a 49 años;Hombres;2021;8,68
De 45 a 49 años;Mujeres;2023;11,75
De 45 a 49 años;Mujeres;2022;12,51
De 45 a 49 años;Mujeres;2021;14,69
De 50 a 54 años;Ambos sexos;2023;9,94
De 50 a 54 años;Ambos sexos;2022;11,91
De 50 a 54 años;Ambos sexos;2021;12,21
De 50 a 54 años;Hombres;2023;8
De 50 a 54 años;Hombres;2022;9,74
De 50 a 54 años;Hombres;2021;9,96
De 50 a 54 años;Mujeres;2023;12,11
De 50 a 54 años;Mujeres;2022;14,38
De 50 a 54 años;Mujeres;2021;14,8
De 55 a 59 años;Ambos sexos;2023;11,33
De 55 a 59 años;Ambos sexos;2022;11,4
De 55 a 59 años;Ambos sexos;2021;13,55
De 55 a 59 años;Hombres;2023;9,39
De 55 a 59 años;Hombres;2022;9,92
De 55 a 59 años;Hombres;2021;11,34
De 55 a 59 años;Mujeres;2023;13,56
De 55 a 59 años;Mujeres;2022;13,13
De 55 a 59 años;Mujeres;2021;16,1
De 60 a 64 años;Ambos sexos;2023;11,55
De 60 a 64 años;Ambos sexos;2022;12,46
De 60 a 64 años;Ambos sexos;2021;13,27
De 60 a 64 años;Hombres;2023;10,44
De 60 a 64 años;Hombres;2022;10,97
De 60 a 64 años;Hombres;2021;12,41
De 60 a 64 años;Mujeres;2023;12,8
De 60 a 64 años;Mujeres;2022;14,17
De 60 a 64 años;Mujeres;2021;14,26
De 65 a 69 años;Ambos sexos;2023;7,36
De 65 a 69 años;Ambos sexos;2022;6,36
De 65 a 69 años;Ambos sexos;2021;6,34
De 65 a 69 años;Hombres;2023;5,66
De 65 a 69 años;Hombres;2022;5,93
De 65 a 69 años;Hombres;2021;6,33
De 65 a 69 años;Mujeres;2023;9,22
De 65 a 69 años;Mujeres;2022;6,85
De 65 a 69 años;Mujeres;2021;6,35
70 y más años;Ambos sexos;2023;3,36
70 y más años;Ambos sexos;2022;3,41
70 y más años;Ambos sexos;2021;2,21
70 y más años;Hombres;2023;3,33
70 y más años;Hombres;2022;3,74
70 y más años;Hombres;2021;2,19
70 y más años;Mujeres;2023;3,42
70 y más años;Mujeres;2022;2,77
70 y más años;Mujeres;2021;2,26
